rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,phone_number,soc_sec_id,day,month,year,match_id
0,riley,cowley,2,ballarat street,,laguna,4218,vic,08 24225112,4731875,,,,0
1,maddison,hiley,5,limestone avenue,lochenfels,cobram,6415,nsw,07 30119605,7601582,14,04,1921,1
2,thomas,roberts,49,fortescue place,dp 12750 talunga,leongatha,2911,qld,03 20262854,9626371,16,01,1907,2
3,nasyah,van der ploeg,395,kenyon circuit,,oakleigh,2515,,03 17942021,5336418,,,,3
4,zara,denne,19,,bestblock,kingsford,5290,sa,03 04972684,7990120,11,11,1911,4
5,alexander,tange,30,goessling place,,stockport,4703,vic,03 41920860,1589931,09,04,1974,5
6,ashleigh,,6,rechner place,,north ryde,3083,vic,04 09958044,7061197,16,06,1907,6
7,adam,walker,35,light street,grevillia,howrah,2480,,08 45886051,8830613,02,02,1922,7
8,noah,stafford-gaffney,30,altharoo court,gracedale manor,coogee,3065,nsw,08 99752138,1394927,28,11,1994,8
9,,ma,21,willcock place,,silvan,4702,qld,02 73772710,2797536,04,07,1940,9
10,lukas,mckenzie,103,east place,,padbury,2323,vic,02 64715788,8242469,11,01,1958,10
11,tara,reynolds,0,zincke close,rosalie,tuross head,5607,wa,02 61160525,9206659,19,09,1966,11
12,kaitlin,duigan,7,,bernau station,heathridge,3174,sa,02 46028323,3411276,19,06,1907,12
13,natassia,stokoe,67,hooper crescent,latrobe ret vill,ingle farm,4871,qld,08 08633475,7135126,13,02,1994,13
14,alison,petts,36,darwinia terrace,,ballarat,4131,qld,02 46332414,2755718,,,,14
15,hunter,helmers,56,pennefather street,,bradbury,2263,nsw,03 34051723,7379935,05,05,1993,15
16,kaitlyn,woods,23,woolls street,,omeo,4306,act,04 32090813,4154925,07,07,1990,16
17,nicholas,riley,15,evergood close,arila,glebe,3002,nsw,02 23563952,4100352,14,08,1982,17
18,harrison,pryor,28,davis street,banora village medical cntr (cnr darling,bracken ridge,3167,qld,02 46801003,5439519,30,11,1953,18
19,oliver,enthoven,10,dinnison circuit,levenbank nursing,chelsea,3931,vic,04 86255512,3319494,,,,19
20,oliver,jones,0,smeaton circuit,villanova aged hme,hoppers crossing,4218,,03 52541442,8239522,27,02,1984,20
21,zac,von stieglitz,41,allott place,,beaumaris,3148,,03 59572382,3075530,05,03,1945,21
22,kristin,sando,16,mulley street,,highton,7320,vic,02 70611353,6222306,21,10,1913,22
23,kyle,murray,130,downes place,north star caravn park,d'aguilar,3977,nsw,08 76212506,4477257,07,01,1998,23
24,,lane,118,derry street,island quays,south melbourne,3039,sa,04 89008915,2155341,22,10,1938,24
25,lachlan,canney,522,tillyard drive,kraywood,abbotsford,3953,nsw,02 00076384,1628176,15,02,1981,25
26,emma,van der heyden,50,hallstrom circuit,,caringbah,4611,wa,03 98986613,9243827,,,,26
27,mary,piotrowicz,26,eltham place,,safety bay,4878,vic,02 63651583,6715099,03,07,1942,27
28,dylan,,5,clarnette place,,hamlyn heights,2446,wa,,1727182,21,10,1984,28
29,nathan,hankey,293,,carawatha,fernleigh,3018,qld,02 96107037,6782575,27,10,1986,29
30,taylah,guerin,12,mina wylie crescent,,wee waa,3913,wa,03 89918542,7039842,31,01,1932,30
31,shana,chenery,36,carss place,,mungar,6101,,02 95196474,2210837,17,10,1952,31
32,pino,treptow,16,kneebone street,,tamworth,2015,nsw,08 29507369,6202491,29,09,1921,32
33,imogen,,47,wangara street,,kings meadows,3407,sa,04 17383354,8528936,15,05,1917,33
