rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,phone_number,soc_sec_id,day,month,year,match_id
0,jenna,kilpin,179,mcfarlan place,,hillarys,2768,vic,07 09785906,2926598,26,02,1950,0
1,bianca,randazzo,37,lindrum crescent,sunshine,forster,2281,wa,08 87341075,4444669,07,04,1988,1
2,james,borlase,75,,rocklea,casula,2460,qld,03 92049249,6639246,03,09,1913,2
3,nicholas,beeton,20,mugga way,,hawthorn,2480,vic,02 19132574,8506484,22,06,1999,3
4,megan,footner,4,jewell close,,taylors lakes,3129,tas,08 37323837,7551016,22,09,1912,4
5,,brooks,61,lutana street,doora,ryde,2199,nsw,04 85367887,3361304,06,07,1965,5
6,kade,rowe,63,lyttleton crescent,,greenbank,2500,nsw,07 52625535,7671913,01,09,1983,6
7,chelsea,oswald,65,shearer place,lochiel,blackburn south,2611,nsw,03 37501336,3145856,13,08,1966,7
8,hayden,stringer,2,counsel street,,black rock,5231,qld,07 41149340,3034490,25,06,1924,8
9,riley,furner,4,symers street,blue horizon,seaton,4504,tas,04 39646214,9814811,,,,9
10,kristo,harney,11,groom street,,mount clarence,2326,vic,04 08017300,2597369,09,03,1907,10
11,ruben,kelly,4,hagen place,,young,5109,nsw,03 01754572,9176427,23,11,1905,11
12,luke,wells,6,barr-smith avenue,,mittagong,2023,vic,07 22073294,4668300,09,04,1931,12
13,alexa-rose,stevens,13,bee place,homelands van park,mill park,0,sa,02 93186972,3849892,24,08,1962,13
14,mikhayla,freeman,115,horrocks street,,whyalla stuart,2164,,04 42106066,2121875,02,07,1917,14
15,heath,blake,39,llewellyn crescent,,prospect,5043,qld,08 91845330,3375012,04,06,1992,15
16,thomas,graefe,186,yerra court,aprt 59,charlestown,3149,nsw,03 96915475,8178685,02,10,1989,16
17,claudia,brill,50,dash crescent,,heathmont,4065,wa,08 36345897,8777371,19,05,1921,17
18,tyrone,nolan,41,gellatly place,,kurrajong,2095,nsw,07 12340115,6164091,22,04,1929,18
19,andrew,cutting,52,twynam street,willowvale,mooroopna,3448,qld,02 97257587,8995192,28,03,1954,19
20,emiily,minuzzo,51,taroona place,,paraburdoo,3806,,03 09472001,3696074,29,05,1955,20
21,ashleigh,neil,40,caley crescent,glenrock,lindfield,830,,08 77015365,9474131,08,06,1954,21
22,jemma,magil,30,cornelian place,,morningside,2141,nt,,1271540,24,12,1975,22
23,teagan,leiper,44,yagan place,karingal,punchbowl,2754,wa,07 11301336,3821175,03,11,1902,23
24,alexander,wigg,171,biraban place,maytom cottage,paralowie,7303,vic,04 23433490,9069602,12,07,1938,24
25,pearson,myers,115,wilkins street,mcalister,huntly,3064,nsw,04 76515169,2353007,26,08,1995,25
26,jayden,bache,8,cobby street,,altona north,4508,nsw,02 02672634,9590117,14,08,1924,26
27,jessica,hewish,175,withnell circuit,hillview,dandenong north,5085,vic,03 15011643,1130449,,,,27
28,jaden,shires,19,dyett circuit,austral farm,carrington,6160,vic,07 79832114,9497668,04,10,1902,28
29,chloe,harris,14,blamey crescent,,dapto,6044,nsw,02 06118843,3240973,21,11,1984,29
30,isabella,boon,4,wayal place,somerton,stafford,3205,wa,03 43020949,2164574,11,08,1976,30
31,joel,britcher,2,maribyrnong avenue,,hepburn springs,5158,nsw,03 55474106,5302129,16,11,1941,31
32,willow,schubert,100,ramage place,,urunga,2430,nsw,07 09571096,8098946,31,03,1936,32
33,brigitte,web,111,monaro crescent,,jindalee,4868,qld,07 74749598,6692769,06,02,1948,33
34,andrea,newport,86,padbury street,the meadows,carbrook,2162,vic,08 15310922,7351065,04,09,1943,34
35,erin,kennedy,0,elkington street,,georges hall,3342,nsw,03 99141195,3499918,25,04,1997,35
36,lauren,roberts,25,wakelin circuit,blakefield,mole creek,7015,wa,02 27033204,1335592,10,08,1944,36
37,stephanie,kozak,8,donnison place,,bexley,2193,nsw,04 39785297,1807700,26,11,1964,37
38,bianca,doudle,129,howitt street,,south yunderup,4816,,07 07029231,9472165,15,04,1930,38
39,xanthe,johnston,33,wirraway crescent,argyle square,bentleigh,2228,qld,02 79156310,4941179,21,09,1914,39
40,christina,wilkie,6,reader court,valley view,preston,6390,vic,02 80104767,7094146,26,04,1950,40
41,emiily,pennington,7,coghlan street,pioneer lodge,beverly hills,2619,qld,02 47102660,3607008,21,12,1945,41
42,jasmine,luke,36,roseworthy crescent,,vermont,0,,03 44724214,8430292,20,12,1934,42
43,katharine,stamos,10,ngunawal drive,forest view,barham,6432,sa,03 59802056,6904349,,,,43
44,bridget,franze,21,chewings street,,walcha,3104,nsw,07 39750424,3968634,21,03,1985,44
45,amy,savas,10,hayball place,buderim meadows,lalor park,3206,qld,08 57138674,5847061,03,06,1968,45
46,jacinta,gerace,84,lexcen avenue,,coorparoo,3550,qld,04 77285470,4396666,10,03,1931,46
47,danielle,douglas,191,,,seal rocks,4124,qld,07 26837185,4571877,,,,47
48,jack,ricketts,4,bungonia street,,lindisfarne,3123,nsw,02 32606153,5488995,30,05,1932,48
49,kyra,gamba,10,carandini street,,meadows,2141,qld,,5555880,10,05,1941,49
50,madison,fahey,14,goldner circuit,lidia perin medical centre,morley,3756,qld,04 92430313,3778173,24,12,1918,50
51,timothy,eak,3,jabanungga avenue,greenslopes,sorrento,3205,nsw,03 51928427,3274736,23,06,1941,51
52,mia,kemp,3,teague street,,eastwood,6054,nsw,04 16373817,9939754,11,02,1944,52
